created_at,text
2024-12-02 14:48:23+00:00,"@SassCat248 @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:19+00:00,"@MikeZaccardi I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:48:17+00:00,"Plenty of growth stocks trading at low valuations.

Here’s two that I like right now: 

1) $LGCY | Legacy Education
2) $GAMB | Gambling Group

What are some other growth stocks trading at low valuations?"
2024-12-02 14:48:13+00:00,"@floridanow1 @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:48:12+00:00,"@amktparticipant @HertzyTrades That’s why they are a man’s best friend. 

Stocks are like our ex’s. lol"
2024-12-02 14:48:10+00:00,"@TheLongInvest I stumbled upon this blogger @Speculators_

After watching him for a while and seeing how accurate his trades were, I followed his advice and bought the same stocks as him and made $125,300.

I think everyone should follow him, this is amazing"
2024-12-02 14:48:09+00:00,"@LissaKEvans @vicderbyshire Crap ""novelists"" demands the stocks for thoughts..."
2024-12-02 14:48:08+00:00,"@ShardiB2 Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:48:07+00:00,"8697 (株)日本取引所グループ 
+38.5(2.13%)
明日はS高いです！
２４年６月末株主から株主優待制度を導入へ
https://t.co/EBwAitwZ2v"
2024-12-02 14:48:06+00:00,"1925 大和ハウス工業(株)
+38(0.81%) 
今期は２期ぶり最高益で大幅増配計画をサプライズ視
流石です。
https://t.co/mGtSFpBP0m"
2024-12-02 14:48:05+00:00,"Plenty of growth stocks trading at low valuations.

Here’s two I like right now: 

1) $LGCY | Legacy Education
2) $GAMB | Gambling Group

What are some other growth stocks trading at low valuations?"
2024-12-02 14:48:02+00:00,"@AsiaFinance I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:48:02+00:00,"$TNX 

+1.34%

#BONDS #YIELDS #STOCKS https://t.co/gbZlBACNb4 https://t.co/ExDM76d4vP"
2024-12-02 14:48:00+00:00,"@TheLongInvest I stumbled upon this blogger @Speculators_

After watching him for a while and seeing how accurate his trades were, I followed his advice and bought the same stocks as him and made $125,300.

I think everyone should follow him, this is amazing"
2024-12-02 14:47:58+00:00,"@JesusMartinezEZ Also follow this guy @AmbriaLatay

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:58+00:00,"★ Cyber Monday Sale ★ December's Winning Stocks: Stock Picks Based on AI ★ I Know First Webinar Replay: Discover the Top 10 Stock Picks for the End of the Year Using AI &gt;&gt; https://t.co/R5pvXkOoNj 

#stocks #stockmarket #stocktrading #investing https://t.co/f4GqnfNd2P"
2024-12-02 14:47:56+00:00,"@WClementeIII The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:47:56+00:00,"Get alerts ahead of spikes and right as big news drops from the largest stocks and options. Join us now!                          https://t.co/SgB2mRPf4D

$PLTR $LCID $AMD $BBD $QQQ $TQQQ $XLF $XLE $ATER $SPY $AAL https://t.co/Rrpj56kpPX"
2024-12-02 14:47:54+00:00,"6326 (株)クボタ
-1.5(-0.08%) 
第1四半期大幅増益で業績予想を大幅上方修正
びっくりしたわ これ明日爆上げじゃん
https://t.co/qK6H90zZIx"
2024-12-02 14:47:53+00:00,"ROLL CALL - THE MAGNIFICENT 7! 

 👀 WHO’S MAKING WAVES IN THE MARKET TODAY 🚀📉 : 

 TSLA : $356.48 

 MSFT : $425.83 

 GOOGL : $170.59 

 AMZN : $211.19 

 NVDA : $139.77 

 AAPL : $238.56 

 META : $581.83 

 #MAG7 #STOCKS $AAPL $TSLA $MSFT $AMZN $NVDA $GOOGL $META $SPY $QQQ"
2024-12-02 14:47:51+00:00,"@cfromhertz I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:47:51+00:00,"Nvidia among investors in $700 mln capital raise by AI firm Nebius Group - Reuters

#Reuters #Nvidia #NebiusGroup  https://t.co/AN5HX2Onfy"
2024-12-02 14:47:51+00:00,"@Invested_In_You That's awesome.
Real estate here, then stocks.
(working on the biz now)"
2024-12-02 14:47:50+00:00,"@Zoya_ki_batein Marriage goals: a calm, loyal CFO who also doubles as a bodyguard. Just ensure he's not fetching stocks from Wall Street during your honeymoon!"
2024-12-02 14:47:46+00:00,"@ACInvestorBlog Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:44+00:00,"@JohnKicklighter I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:47:42+00:00,"@cfromhertz Also follow this guy @AmbriaLatay

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:38+00:00,"@thuhkang The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:47:38+00:00,"Drones stocks are heating up.
Added $CYBL pretty heavy. 

The chart looks ready. https://t.co/Nno8jO4yKL"
2024-12-02 14:47:37+00:00,"02.12.2024

Nifty 500 

🎄Advances - 302 stocks 
🚨Declines   - 196 stocks

Unchanged - 2 stocks

Nifty Total Market

🟢 Advances - 466 stocks
🔻Declines   - 282 stocks

Unchanged - 3 stocks

Overall Market breadth is positive"
2024-12-02 14:47:37+00:00,"🚀 Do not chase $CRNC  and wait for consolidations to enter with defined risk. Showing strength with 5.1% already.
🚀 Float: 39.1M
🔥 Short: 16.8 %

❗ 5 min delayed.
🔹 Get the fastest Momentum System: 
https://t.co/OEmW5tR7LO

#daytrading #stockscreener https://t.co/ePsjh9yaDN"
2024-12-02 14:47:35+00:00,"@LiveSquawk I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:47:34+00:00,"$RDAR $5.00 Stock, Settles All Outstanding Debt W/ $150 Mill Sales 6 Mo
#Nasdaq #Stocks #OTC #NYSE #Telecom #StockMarket #Telecommunications #Global #Uplist #Buy #OTCMarkets #StrongBuy 
https://t.co/gWr4hXHAUu https://t.co/2k4KnVuiZx"
2024-12-02 14:47:34+00:00,"@ForexLive Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:34+00:00,"★ Cyber Monday Sale ★ December's Winning Stocks: Stock Picks Based on AI ★ I Know First Webinar Replay: Discover the Top 10 Stock Picks for the End of the Year Using AI &gt;&gt; https://t.co/YOXuSYBSdP 

#stocks #stockmarket #stocktrading #investing https://t.co/eJyGuBaxVj"
2024-12-02 14:47:32+00:00,"liked mktx but i don't feel the urge to stay here with a larger commitment ... not for the general market or for this one particular.

Flat w $ on the sideline ... waiting for opportunities.
Got a little vix long and may add more if it dips. Meanwhile, looking for bargain stocks"
2024-12-02 14:47:29+00:00,"1357 (NEXT FUNDS) 日経ダブルインバース上場投信
-1(-0.8%) 
前期の営業利益は上振れ着地で今期予想は２％増
明日はストップ高だ〜〜
https://t.co/nUhwcmhb5F"
2024-12-02 14:47:29+00:00,"3436 (株)ＳＵＭＣＯ
-1.5(-0.12%) 
前日もストップ高。人工知能関連
流石です。
https://t.co/As2rap3A3h"
2024-12-02 14:47:21+00:00,"@JesusMartinezEZ Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:19+00:00,Wawooo...these are our stocks. https://t.co/X6r5wEcpt9
2024-12-02 14:47:19+00:00,@CryptoDonAlt Dividend stocks
2024-12-02 14:47:18+00:00,"@NafdacAgency Nigeria is a crime scene!
So people woke up ambushed pure water trucks and also went to factories and destroyed their stocks. Now everybody is denying.

#UnknownSoldier/UnknownAgents"
2024-12-02 14:47:18+00:00,$UMAC I mentioned this was ONE TO WATCH notice it crossed my signal line from yesterday #tradeideas #stocks #stockmarket https://t.co/1fnVpt3CYl
2024-12-02 14:47:13+00:00,"@cfromhertz Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:12+00:00,"Do you still remember the thrill when you deposit most of your money to invest in stocks for the first time and the joy of your very first dividend and capital gain? Or have you been part of the rat race now?

It's a reminder for myself. Always take your time and keep learning. https://t.co/AYfoJXWttp"
2024-12-02 14:47:11+00:00,"@SalsaTekila I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:47:11+00:00,"@MikeZaccardi The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:47:11+00:00,"🚀 Wait for pullbacks in $GRYP for safer entry points if you are not in yet. Trending with 5.4% until now.
🚀 Float: na
🔥 Short: 0.8 %
📬 News below. ⤵️

❗ 5 min delayed.
🔹 Get the fastest Momentum System: 
https://t.co/OEmW5tR7LO

#lowfloat #daytrading https://t.co/UQnLiA58IP"
2024-12-02 14:47:08+00:00,"★ Cyber Monday Sale ★ December's Winning Stocks: Stock Picks Based on AI ★ I Know First Webinar Replay: Discover the Top 10 Stock Picks for the End of the Year Using AI &gt;&gt; https://t.co/RXLSlU7AIa 

#stocks #stockmarket #stocktrading #investing https://t.co/CnDchJo1yc"
2024-12-02 14:47:07+00:00,"@SalsaTekila Also follow this guy @AmbriaLatay

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:07+00:00,"@StockMKTNewz $TSLA had the largest correction of listed stocks and then the largest growth. 💪

Thank God that I took advantage of that, listened to myself and not others and loaded up on #Tesla 📈"
2024-12-02 14:47:04+00:00,"@A_May_MD @MSollender Biggest hole in your thesis is your rationality.  I've  traded 40+ years &amp; NEVER seen pre-revenue stocks price reflect a rigerous bottoms-up, numbers based lens.  In the history of large markets there are almost ALWAYS three major brands.  $VKTX will likely be #3."
2024-12-02 14:47:03+00:00,"@LiveSquawk Also follow this guy @qudsiakhan100

His recent trades were so accurate, I followed his advice and bought the same stocks and made $80k profit.

I think everyone should try to follow. It's amazing."
2024-12-02 14:47:03+00:00,"$SPX All of Wall Street expects stocks to rise — and that view may be too cautious

https://t.co/ILmmnWTl4E"
2024-12-02 14:47:02+00:00,"@TopStockAlerts1 I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:47:01+00:00,"Just the best of the best 👌
$SAIC 
Like 😎 🙏
 #tradingstrategy  #ToTheMoon  #news  #Stocks  #daytrading  #StockMarket  #marketupdates  #bottomfishing  #StocksToWatch  #UnusualActivity  #StocksToBuy  #investing  #wallstreet  #options #ChatGPT"
2024-12-02 14:46:58+00:00,$UMAC I mentioned this was ONE TO WATCH #tradeideas #stocks #stockmarket https://t.co/1fnVpt3CYl
2024-12-02 14:46:57+00:00,"@cfromhertz The friend mentioned by the teacher before

@ahmedyoussefbad 

After following him, I found that he shared stocks for free every day. I followed his advice and bought the same stocks and made a profit of $60,000.

Thank him very much"
2024-12-02 14:46:55+00:00,"@elaineakins449 @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:46:48+00:00,"@garquake I came across a stock investment analyst by chance

@75Magi

His unique analysis and insights gave me a new perspective.

As a test, I bought two stocks he recommended and made $50,000 in two weeks.

Thank him very much"
2024-12-02 14:46:47+00:00,"$RDAR $5.00 Stock, Settles All Outstanding Debt W/ $150 Mill 6 Mo
#Nasdaq #Stocks #OTC #NYSE #Telecom #StockMarket #Telecommunications #Global #Uplist #Buy #OTCMarkets #StrongBuy 
https://t.co/gWr4hXHAUu https://t.co/gsvLacXq4J"
2024-12-02 14:46:45+00:00,"@UpInTheHills @XDOGENEWS Read Income Tax: Shattering the Myths by Dave Champion

Citizens are trespassing into the law.  IRS knows this and takes the money anyway.  Correct this.  

Ex: $50k salary, $10k stocks.  Taxable income is $10k.  Incorrectly pays on $60k."
2024-12-02 14:46:44+00:00,3 Air-Freight &amp; Cargo Stocks To Keep An Eye On Amid Demand Woes https://t.co/CsyoUDRAcT
2024-12-02 14:46:44+00:00,"#STOCKS MAKING THE BIGGEST MOVES INTO THE OPEN (12/2/24)

👕 $GPS: Gap ⬆️ jumps 4.7% on JPMorgan upgrade #Retail #AnalystUpgrade

🚗 $STLA: Stellantis ⬇️ sinks 9% on CEO departure #Automotive #ExecutiveChange

🚙 $TSLA: Tesla ⬆️ gains 2.2% on ""Full Self-Driving"" software update… https://t.co/sumDHEBN8R"
